dataset,configuration,AUC,MRR,nDCG@5,nDCG@10,delta_AUC,delta_MRR,delta_nDCG@5,delta_nDCG@10
ebnerd,Baseline (Stage 1),0.5025874468827054,0.30701915307174626,0.3386893489605492,0.4237804846100862,-0.1072,-0.0598,-0.0778,-0.063
ebnerd,Full Model (Principled Improvement),0.6098171602640744,0.3668179269864335,0.41645699327761615,0.4867703500014771,0.0,0.0,0.0,0.0
ebnerd,- Category Affinity,0.6098171602640744,0.3668179269864335,0.41645699327761615,0.4867703500014771,0.0,0.0,0.0,0.0
ebnerd,- Position Bias,0.5669351021658389,0.34706460692941404,0.3873174328206152,0.4633314555656018,-0.0429,-0.0198,-0.0291,-0.0234
ebnerd,- Freshness & Recency,0.506772712208309,0.3005731737220672,0.3332550826986996,0.4187902655887143,-0.103,-0.0662,-0.0832,-0.068
ebnerd,- Session & Dwell,0.6051271748465581,0.3611063524528734,0.4102764322094775,0.4824104878590502,-0.0047,-0.0057,-0.0062,-0.0044
ebnerd,- Popularity Prior,0.6595585172695203,0.4270701205438174,0.4826931952408073,0.5388334335691989,0.0497,0.0603,0.0662,0.0521
ebnerd,- History Embeddings & Semantic Overlap,0.6098171602640744,0.3668179269864335,0.41645699327761615,0.4867703500014771,0.0,0.0,0.0,0.0
