dataset,comparison,metric,baseline_mean,improved_mean,mean_gain,ci_low_95,ci_high_95,p_value,excludes_zero
mind,Full Model vs Stage 1 Baseline,AUC,0.5041792392030717,0.4915429120418336,-0.012636327161238093,-0.02831248851362857,0.0020504166742912637,0.06,false
mind,Full Model vs Stage 1 Baseline,MRR,0.23606115074572592,0.23925461328584174,0.0031934625401157718,-0.008276932976540648,0.013537024581063126,0.291,false
mind,Full Model vs Stage 1 Baseline,nDCG@5,0.2141146245419906,0.21331921449972166,-0.0007954100422689431,-0.012582282926904437,0.010290813298568619,0.466,false
mind,Full Model vs Stage 1 Baseline,nDCG@10,0.2730029181875294,0.27463426794341533,0.001631349755885911,-0.009276638215325058,0.011640953324538296,0.375,false
mind,Full Model vs Official NRMS Baseline,AUC,0.6338,0.4915429120418336,-0.14225708795816644,-0.1527806315623513,-0.13147379329114786,0.001,true
mind,Full Model vs Official NRMS Baseline,MRR,0.2983,0.23925461328584174,-0.059045386714158286,-0.06918444443949401,-0.04934792833907352,0.001,true
mind,Full Model vs Official NRMS Baseline,nDCG@5,0.3226,0.21331921449972166,-0.10928078550027834,-0.12043408677121197,-0.09817721863281052,0.001,true
mind,Full Model vs Official NRMS Baseline,nDCG@10,0.3829,0.27463426794341533,-0.1082657320565847,-0.11831112596151803,-0.09716301453841282,0.001,true
