dataset,metric,before_nrms,after_gbdt,absolute_gain,relative_gain_pct
ebnerd,AUC,0.5807,0.5703,-0.0104,-1.79
ebnerd,MRR,0.3677,0.3435,-0.0243,-6.6
ebnerd,nDCG@5,0.4007,0.3905,-0.0103,-2.56
ebnerd,nDCG@10,0.4826,0.4662,-0.0164,-3.41
