dataset,comparison,metric,mean_before_nrms,mean_after_gbdt,mean_baseline,mean_improved,absolute_diff,relative_gain_pct,ci_low_95,ci_high_95,p_value,excludes_zero,direction,statistically_significant
mind,Full Model vs Full-Scale NRMS,AUC,0.6338,0.5969,0.6338,0.5969,-0.0369,-5.82,-0.0636,-0.0102,0.004,true,regression,false
mind,Full Model vs Full-Scale NRMS,MRR,0.3414,0.3192,0.3414,0.3192,-0.0222,-6.5,-0.0494,0.0079,0.146,false,neutral / inconclusive,false
mind,Full Model vs Full-Scale NRMS,nDCG@5,0.3226,0.3005,0.3226,0.3005,-0.0221,-6.84,-0.0474,0.0056,0.124,false,neutral / inconclusive,false
mind,Full Model vs Full-Scale NRMS,nDCG@10,0.3829,0.3679,0.3829,0.3679,-0.015,-3.92,-0.0373,0.0089,0.22,false,neutral / inconclusive,false
mind,Full Model vs Stage-1 Starter Baseline,AUC,0.635,0.6834,0.635,0.6834,0.0484,7.63,0.0465,0.0504,0.001,true,improvement,true
mind,Full Model vs Stage-1 Starter Baseline,MRR,0.3384,0.3864,0.3384,0.3864,0.048,14.2,0.0463,0.0499,0.001,true,improvement,true
mind,Full Model vs Stage-1 Starter Baseline,nDCG@5,0.3129,0.3573,0.3129,0.3573,0.0445,14.21,0.0428,0.0462,0.001,true,improvement,true
mind,Full Model vs Stage-1 Starter Baseline,nDCG@10,0.3654,0.4096,0.3654,0.4096,0.0442,12.11,0.0423,0.0459,0.001,true,improvement,true
