dataset,configuration,AUC,MRR,nDCG@5,nDCG@10,delta_AUC,delta_MRR,delta_nDCG@5,delta_nDCG@10
mind,Baseline (Stage 1),0.5041792392030717,0.23606115074572592,0.2141146245419906,0.2730029181875294,0.0126,-0.0032,0.0008,-0.0016
mind,Full Model (Principled Improvement),0.4915429120418336,0.23925461328584174,0.21331921449972166,0.27463426794341533,0.0,0.0,0.0,0.0
mind,- Category Affinity,0.48457454894147006,0.23427517072804577,0.20875065906471382,0.26829102428108564,-0.007,-0.005,-0.0046,-0.0063
mind,- Position Bias,0.49564335833387757,0.24512133422967053,0.21926139368315195,0.27987680669993337,0.0041,0.0059,0.0059,0.0052
mind,- Freshness & Recency,0.49115865208177234,0.23858546476988365,0.2124609658580058,0.27404510083955425,-0.0004,-0.0007,-0.0009,-0.0006
mind,- Session & Dwell,0.4915429120418336,0.23925461328584174,0.21331921449972166,0.27463426794341533,0.0,0.0,0.0,0.0
mind,- Popularity Prior,0.5069403721889407,0.2621411833358974,0.23779908242251183,0.2981695069427187,0.0154,0.0229,0.0245,0.0235
mind,- History Embeddings & Semantic Overlap,0.49007008135713914,0.24189977464131804,0.2145978083706762,0.2777338670841282,-0.0015,0.0026,0.0013,0.0031
