dataset,comparison,metric,baseline_mean,improved_mean,mean_gain,ci_low_95,ci_high_95,p_value,excludes_zero
ebnerd,Full Model vs Stage 1 Baseline,AUC,0.5025874468827054,0.6098171602640744,0.10722971338136898,0.0901833170834567,0.12536947477897836,0.001,true
ebnerd,Full Model vs Stage 1 Baseline,MRR,0.30701915307174626,0.3668179269864335,0.059798773914687256,0.045269161175471744,0.07341158692038408,0.001,true
ebnerd,Full Model vs Stage 1 Baseline,nDCG@5,0.3386893489605492,0.41645699327761615,0.07776764431706694,0.06263805202126067,0.0939170807093409,0.001,true
ebnerd,Full Model vs Stage 1 Baseline,nDCG@10,0.4237804846100862,0.4867703500014771,0.06298986539139088,0.05066603695183654,0.07585301322948985,0.001,true
ebnerd,Full Model vs Official NRMS Baseline,AUC,0.5807,0.6098171602640744,0.029117160264074404,0.019622840700094353,0.03964991621257949,0.001,true
ebnerd,Full Model vs Official NRMS Baseline,MRR,0.3677,0.3668179269864335,-0.0008820730135664861,-0.010784026971039588,0.009661659766206249,0.447,false
ebnerd,Full Model vs Official NRMS Baseline,nDCG@5,0.4007,0.41645699327761615,0.01575699327761613,0.004480840660418983,0.028060199741171413,0.003,true
ebnerd,Full Model vs Official NRMS Baseline,nDCG@10,0.4826,0.4867703500014771,0.004170350001477103,-0.00459382694096734,0.013995144229169153,0.174,false
